id,team_name,conf_win,conf_loss,wins,losses,points_for,points_against,streak
1,CLEMSON,8,0,14,1,659,203,"Lost 1"
2,LOUISVILLE,5,3,8,5,430,434,"Won 1"
3,"WAKE FOREST",4,4,8,5,414,378,"Lost 2"
4,"BOSTON COLLEGE",4,4,6,7,377,418,"Lost 1"
5,"FLORIDA STATE",4,4,6,7,363,362,"Lost 2"
6,SYRACUSE,2,6,5,7,339,368,"Won 1"
7,"NORTH CAROLINA STATE",1,7,4,8,265,361,"Lost 6"
8,VIRGINIA,6,2,9,5,449,380,"Lost 2"
9,"VIRGINIA TECH",5,3,8,5,401,321,"Lost 2"
10,PITTSBURGH,4,4,8,5,275,292,"Won 1"
11,"NORTH CAROLINA",4,4,7,6,430,308,"Won 3"
12,"MIAMI (FL)",4,4,6,7,334,263,"Lost 3"
13,DUKE,3,5,5,7,303,350,"Won 1"
14,"GEORGIA TECH",2,6,3,9,200,389,"Lost 1"
15,MEMPHIS,7,1,12,2,566,370,"Lost 1"
16,NAVY,7,1,11,2,483,290,"Won 4"
17,SMU,6,2,10,3,544,434,"Lost 1"
18,TULANE,3,5,7,6,430,342,"Won 1"
19,HOUSTON,2,6,4,8,368,408,"Lost 1"
20,TULSA,2,6,4,8,317,376,"Won 1"
21,CINCINNATI,7,1,11,3,415,288,"Won 1"
22,UCF,6,2,10,3,564,299,"Won 3"
23,TEMPLE,5,3,8,5,342,337,"Lost 1"
24,"SOUTH FLORIDA",2,6,4,8,250,347,"Lost 4"
25,"EAST CAROLINA",1,7,4,8,321,404,"Lost 1"
26,CONNECTICUT,0,8,2,10,227,486,"Lost 4"
27,OKLAHOMA,8,1,12,2,590,382,"Lost 1"
28,BAYLOR,8,1,11,3,471,277,"Lost 2"
29,"KANSAS STATE",5,4,8,5,385,278,"Lost 1"
30,"OKLAHOMA STATE",5,4,8,5,422,348,"Lost 2"
31,TEXAS,5,4,8,5,458,357,"Won 2"
32,"IOWA STATE",5,4,7,6,418,337,"Lost 2"
33,TCU,3,6,5,7,364,317,"Lost 2"
34,"WEST VIRGINIA",3,6,5,7,247,346,"Won 1"
35,"TEXAS TECH",2,7,4,8,366,364,"Lost 3"
36,KANSAS,1,8,3,9,282,433,"Lost 4"
37,"OHIO STATE",9,0,13,1,656,192,"Lost 1"
38,"PENN STATE",7,2,11,2,465,208,"Won 2"
39,MICHIGAN,6,3,9,4,412,269,"Lost 2"
40,INDIANA,5,4,8,5,413,317,"Lost 1"
41,"MICHIGAN STATE",4,5,7,6,291,293,"Won 3"
42,MARYLAND,1,8,3,9,303,416,"Lost 7"
43,RUTGERS,0,9,2,10,159,440,"Lost 4"
44,MINNESOTA,7,2,11,2,443,293,"Won 1"
45,WISCONSIN,7,2,10,4,477,237,"Lost 2"
46,IOWA,6,3,10,3,335,182,"Won 4"
47,ILLINOIS,4,5,6,7,347,340,"Lost 3"
48,NEBRASKA,3,6,5,7,336,333,"Lost 1"
49,PURDUE,3,6,4,8,310,367,"Lost 2"
50,NORTHWESTERN,1,8,3,9,196,283,"Won 1"
51,"FLORIDA ATLANTIC",7,1,11,3,510,318,"Won 7"
52,"WESTERN KENTUCKY",6,2,9,4,330,261,"Won 4"
53,MARSHALL,6,2,8,5,335,325,"Lost 1"
54,CHARLOTTE,5,3,7,6,388,421,"Lost 1"
55,"FLORIDA INTERNATIONAL",3,5,6,7,344,354,"Lost 2"
56,"MIDDLE TENNESSEE",3,5,4,8,316,359,"Lost 1"
57,"OLD DOMINION",0,8,1,11,195,358,"Lost 11"
58,"LOUISIANA TECH",6,2,10,3,422,284,"Won 2"
59,UAB,6,2,9,5,324,302,"Lost 2"
60,"SOUTHERN MISS",5,3,7,6,346,341,"Lost 3"
61,"NORTH TEXAS",3,5,4,8,367,390,"Lost 3"
62,UTSA,3,5,4,8,244,407,"Lost 3"
63,RICE,3,5,3,9,215,311,"Won 3"
64,UTEP,0,8,1,11,235,431,"Lost 11"
65,"NOTRE DAME",0,0,11,2,478,233,"Won 6"
66,LIBERTY,0,0,8,5,427,365,"Won 2"
67,"BRIGHAM YOUNG",0,0,7,6,370,331,"Lost 2"
68,ARMY,0,0,5,8,370,299,"Lost 2"
69,"NEW MEXICO STATE",0,0,2,10,260,492,"Lost 1"
70,MASSACHUSETTS,0,0,1,11,237,632,"Lost 7"
71,"MIAMI (OH)",6,2,8,6,338,394,"Lost 1"
72,BUFFALO,5,3,8,5,409,277,"Won 3"
73,"KENT STATE",5,3,7,6,380,414,"Won 4"
74,OHIO,5,3,7,6,446,345,"Won 3"
75,"BOWLING GREEN",2,6,3,9,192,463,"Lost 3"
76,AKRON,0,8,0,12,126,435,"Lost 12"
77,"CENTRAL MICHIGAN",6,2,8,6,426,396,"Lost 2"
78,"WESTERN MICHIGAN",5,3,7,6,430,337,"Lost 2"
79,"BALL STATE",4,4,5,7,418,377,"Won 1"
80,"NORTHERN ILLINOIS",4,4,5,7,274,338,"Won 1"
81,TOLEDO,3,5,6,6,327,386,"Lost 3"
82,"EASTERN MICHIGAN",3,5,6,7,379,398,"Lost 2"
83,"BOISE STATE",8,0,12,2,486,306,"Lost 1"
84,"AIR FORCE",7,1,11,2,443,258,"Won 8"
85,"UTAH STATE",6,2,7,6,380,399,"Lost 1"
86,WYOMING,4,4,8,5,330,231,"Won 1"
87,"COLORADO STATE",3,5,4,8,343,374,"Lost 3"
88,"NEW MEXICO",0,8,2,10,267,446,"Lost 9"
89,"SAN DIEGO STATE",5,3,10,3,276,165,"Won 2"
90,HAWAII,5,3,10,5,508,478,"Won 1"
91,NEVADA,4,4,7,6,277,415,"Lost 2"
92,"SAN JOSE STATE",2,6,5,7,361,383,"Won 1"
93,"FRESNO STATE",2,6,4,8,360,367,"Lost 4"
94,UNLV,2,6,4,8,290,396,"Won 2"
95,OREGON,8,1,12,2,495,231,"Won 3"
96,CALIFORNIA,4,5,8,5,276,285,"Won 3"
97,WASHINGTON,4,5,8,5,416,252,"Won 2"
98,"OREGON STATE",4,5,5,7,374,390,"Lost 2"
99,"WASHINGTON STATE",3,6,6,7,491,408,"Lost 2"
100,STANFORD,3,6,4,8,260,358,"Lost 4"
101,UTAH,8,1,11,3,452,210,"Lost 2"
102,USC,7,2,8,5,422,382,"Lost 1"
103,"ARIZONA STATE",4,5,8,5,322,291,"Won 3"
104,UCLA,4,5,4,8,320,417,"Lost 3"
105,COLORADO,3,6,5,7,282,382,"Lost 1"
106,ARIZONA,2,7,4,8,323,429,"Lost 7"
107,LSU,8,0,15,0,726,328,"Won 15"
108,ALABAMA,6,2,11,2,614,242,"Won 1"
109,AUBURN,5,3,9,4,432,254,"Lost 1"
110,"TEXAS A&M",4,4,8,5,384,293,"Won 1"
111,"MISSISSIPPI STATE",3,5,6,7,359,375,"Lost 1"
112,"OLE MISS",2,6,4,8,319,318,"Lost 2"
113,ARKANSAS,0,8,2,10,257,442,"Lost 9"
114,GEORGIA,7,1,12,2,431,176,"Won 1"
115,FLORIDA,6,2,11,2,432,201,"Won 4"
116,TENNESSEE,5,3,8,5,314,282,"Won 6"
117,KENTUCKY,3,5,8,5,353,251,"Won 4"
118,MISSOURI,3,5,6,6,304,233,"Won 1"
119,"SOUTH CAROLINA",3,5,4,8,269,313,"Lost 3"
120,VANDERBILT,1,7,3,9,198,381,"Lost 1"
121,"APPALACHIAN STATE",7,1,13,1,543,280,"Won 6"
122,"GEORGIA SOUTHERN",5,3,7,6,366,366,"Lost 1"
123,"GEORGIA STATE",4,4,7,6,406,471,"Lost 2"
124,TROY,3,5,5,7,406,417,"Lost 2"
125,"COASTAL CAROLINA",2,6,5,7,364,366,"Won 1"
126,LOUISIANA-LAFAYETTE,7,1,11,3,531,276,"Won 1"
127,"ARKANSAS STATE",5,3,8,5,438,444,"Won 1"
128,LOUISIANA-MONROE,4,4,5,7,379,464,"Lost 1"
129,"TEXAS STATE",2,6,3,9,221,391,"Lost 3"
130,"SOUTH ALABAMA",1,7,2,10,221,368,"Won 1"
